Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
11,mettre,to put
12,aucun,no
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
21,longtemps,long time
22,heures,hours
23,vont,will
24,revoir,meet again
25,aucune,any
26,place,square
27,parle,speak
29,savais,knew
31,attention,Warning
33,pourrais,could
34,donner,give
35,type,type
36,leurs,their
37,donné,given
39,endroit,place
40,façon,way
42,trouve,find
43,premier,first
44,perdu,lost
45,main,hand
46,première,first
49,tiens,here
50,matin,morning
51,tellement,so much
52,enfant,child
53,point,point
55,suite,after
56,pardon,sorry
58,devant,in front of
59,vers,towards
60,minutes,minutes
61,demandé,request
62,chambre,bedroom
63,mis,placed
64,belle,beautiful
65,droit,law
66,aimerais,would like to
67,aujourd'hui,today
68,mari,husband
70,enfin,finally
71,espère,hope
72,eau,water
73,attendez,Wait
74,parti,left
76,boulot,job
77,dirait,would say
79,donne,given
80,loin,far
81,fin,end
82,croire,believe
84,gros,large
85,plutôt,rather
86,aura,will have
87,filles,girls
89,bureau,office
